x,y,distance,angle,is_header,is_volley,is_big_chance,is_penalty,is_free_kick,defenders_in_cone,gk_set,centrality,goal,dist_angle,match_id,competition
114.5,42.4,6.001,1.144,1,0,1,0,0,1,1,0.94,0,6.865,3857265,WC 2022
113.2,34.6,8.683,0.7415,1,0,1,0,0,2,1,0.865,0,6.439,3857265,WC 2022
108.5,23.7,19.948,0.2364,0,1,0,0,0,4,1,0.593,0,4.715,3857265,WC 2022
110.1,60.7,22.946,0.1539,0,0,0,0,0,0,1,0.482,0,3.532,3857265,WC 2022
92.1,56.9,32.619,0.2098,0,0,0,0,0,4,1,0.578,0,6.845,3857265,WC 2022
93.9,25.2,30.004,0.2319,0,0,0,0,0,3,1,0.63,0,6.958,3857265,WC 2022
108.1,40.0,11.9,0.6485,0,0,0,1,0,0,0,1.0,0,7.718,3857265,WC 2022
113.4,48.8,11.0,0.4659,0,0,1,0,0,3,1,0.78,0,5.125,3857265,WC 2022
107.9,29.9,15.761,0.3946,0,0,0,0,0,2,1,0.747,0,6.22,3857265,WC 2022
106.7,35.1,14.174,0.5222,1,0,0,0,0,0,1,0.878,0,7.401,3857265,WC 2022
102.7,60.6,26.901,0.1931,0,0,0,0,0,3,1,0.485,0,5.196,3857265,WC 2022
93.0,24.5,31.133,0.2228,0,1,0,0,0,1,1,0.613,0,6.937,3857265,WC 2022
113.3,41.7,6.912,1.0356,1,0,1,0,0,4,1,0.957,0,7.158,3857265,WC 2022
109.4,24.8,18.531,0.2534,0,0,0,0,0,0,1,0.62,0,4.697,3857265,WC 2022
90.9,48.7,30.373,0.2514,0,0,0,0,0,1,1,0.782,0,7.635,3857265,WC 2022
101.9,56.4,24.425,0.2444,0,0,0,0,0,1,1,0.59,0,5.97,3857265,WC 2022
113.5,52.4,14.0,0.2812,0,0,0,0,0,1,1,0.69,0,3.937,3857301,WC 2022
93.8,39.3,26.209,0.3028,0,1,0,0,0,4,1,0.982,0,7.936,3857301,WC 2022
92.5,41.5,27.541,0.2881,0,1,0,0,0,4,1,0.963,0,7.933,3857301,WC 2022
111.2,26.7,15.948,0.2872,0,0,0,0,0,0,1,0.667,0,4.581,3857301,WC 2022
